,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
0,The Park Hyderabad,"22, RajBhavan Road, Somajiguda, Hyderabad, Andhra Pradesh, 500082, India","4.0 km to city centre
20 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs5,040",,,Hyderabad,12/02/2021,14/02/2021
1,The Westin Hyderabad Mindspace,"Raheja IT Park, Hitec City, Madhapur, Hyderabad, Telangana, 500081, India","9.9 km to city centre
22 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs7,800",,,Hyderabad,12/02/2021,14/02/2021
2,Courtyard by Marriott Hyderabad,"1 3 1024 Lower Tank Bund Road, Hyderabad, Andhra Pradesh, 500001, India","4.7 km to city centre
21 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs6,700",,,Hyderabad,12/02/2021,14/02/2021
3,Courtyard by Marriott Hyderabad,"1 3 1024 Lower Tank Bund Road, Hyderabad, Andhra Pradesh, 500001, India","4.7 km to city centre
21 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs6,700",,,Hyderabad,12/02/2021,14/02/2021
4,Radisson Blu Plaza Hotel Hyderabad Banjara Hills,"8-2-409 Road No 6 Banjara Hills, Hyderabad, Andhra Pradesh, 500034, India","4.5 km to city centre
20 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs6,375",Good 7.6,,Hyderabad,12/02/2021,14/02/2021
5,Taj Deccan,"Rd Number 1, Balapur Basthi, Banjara Hills, Telangana, Hyderabad, Andhra Pradesh, 500034, India","3.8 km to city centre
19 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs8,000",,,Hyderabad,12/02/2021,14/02/2021
6,Taj Deccan,"Rd Number 1, Balapur Basthi, Banjara Hills, Telangana, Hyderabad, Andhra Pradesh, 500034, India","3.8 km to city centre
19 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs8,000",,,Hyderabad,12/02/2021,14/02/2021
7,Hyderabad Marriott Hotel & Convention Centre,"Opp Hussain Sagar Lake Tank Bund Rd, Hyderabad, Andhra Pradesh, 500080, India","4.6 km to city centre
21 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingSpaGymRestaurantBar,"Rs7,200",,,Hyderabad,12/02/2021,14/02/2021
8,Best Western Ashoka,"6-1-70, Lakdi-ka-pul, Hyderabad, Andhra Pradesh, 500004, India","1.7 km to city centre
18 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingAirport transferGymRestaurantBarMeeting Facilities,"Rs5,211",,,Hyderabad,12/02/2021,14/02/2021
9,Hyatt Place Hyderabad Banjara Hills,"Banjara Hills Road 1, Hyderabad, Telangana, 500034, India","3.0 km to city centre
19 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferGymRestaurantBar,"Rs7,330",,,Hyderabad,12/02/2021,14/02/2021
