,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
0,The Park  ,22 RajBhavan Road Somajiguda Hyderabad Andhra Pradesh 500082 India,40 km to city centre 20 km to Hyderabad HYD-Rajiv Gandhi Intl,PoolFree parkingAirport transferSpaGymRestaurant,5040,,Hyderabad,2021-12-02,2021-02-14
1,The Westin   Mindspace,Raheja IT Park Hitec City Madhapur Hyderabad Telangana 500081 India,99 km to city centre 22 km to Hyderabad HYD-Rajiv Gandhi Intl,PoolFree parkingAirport transferSpaGymRestaurant,7800,,Hyderabad,2021-12-02,2021-02-14
2,Courtyard by Marriott  ,1 3 1024 Lower Tank Bund Road Hyderabad Andhra Pradesh 500001 India,47 km to city centre 21 km to Hyderabad HYD-Rajiv Gandhi Intl,PoolFree parkingAirport transferSpaGymRestaurant,6700,,Hyderabad,2021-12-02,2021-02-14
3,Courtyard by Marriott  ,1 3 1024 Lower Tank Bund Road Hyderabad Andhra Pradesh 500001 India,47 km to city centre 21 km to Hyderabad HYD-Rajiv Gandhi Intl,PoolFree parkingAirport transferSpaGymRestaurant,6700,,Hyderabad,2021-12-02,2021-02-14
4,Radisson Blu Plaza Hotel   Banjara Hills,82409 Road No 6 Banjara Hills Hyderabad Andhra Pradesh 500034 India,45 km to city centre 20 km to Hyderabad HYD-Rajiv Gandhi Intl,PoolFree parkingAirport transferSpaGymRestaurant,6375, 7.6,Hyderabad,2021-12-02,2021-02-14
5,Taj Deccan,Rd Number 1 Balapur Basthi Banjara Hills Telangana Hyderabad Andhra Pradesh 500034 India,38 km to city centre 19 km to Hyderabad HYD-Rajiv Gandhi Intl,PoolFree parkingAirport transferSpaGymRestaurant,8000,,Hyderabad,2021-12-02,2021-02-14
6,Taj Deccan,Rd Number 1 Balapur Basthi Banjara Hills Telangana Hyderabad Andhra Pradesh 500034 India,38 km to city centre 19 km to Hyderabad HYD-Rajiv Gandhi Intl,PoolFree parkingAirport transferSpaGymRestaurant,8000,,Hyderabad,2021-12-02,2021-02-14
7,  Marriott Hotel & Convention Centre,Opp Hussain Sagar Lake Tank Bund Rd Hyderabad Andhra Pradesh 500080 India,46 km to city centre 21 km to Hyderabad HYD-Rajiv Gandhi Intl,PoolFree parkingSpaGymRestaurantBar,7200,,Hyderabad,2021-12-02,2021-02-14
8,Best Western Ashoka,6170 Lakdikapul Hyderabad Andhra Pradesh 500004 India,17 km to city centre 18 km to Hyderabad HYD-Rajiv Gandhi Intl,Free parkingAirport transferGymRestaurantBarMeeting Facilities,5211,,Hyderabad,2021-12-02,2021-02-14
9,Hyatt Place   Banjara Hills,Banjara Hills Road 1 Hyderabad Telangana 500034 India,30 km to city centre 19 km to Hyderabad HYD-Rajiv Gandhi Intl,PoolFree parkingAirport transferGymRestaurantBar,7330,,Hyderabad,2021-12-02,2021-02-14
10,Trident  ,HITEC City Near Cyber Towers Hyderabad Andhra Pradesh 500 081 India,11 km to city centre 24 km to Hyderabad HYD-Rajiv Gandhi Intl,PoolFree parkingAirport transferSpaGymRestaurant,9000, 9.6,Hyderabad,2021-12-02,2021-02-14
11,OYO 19460 Hotel Pearl City,155826 Raj Tower Afzalgunj Rd Ashok Bazar Gowliguda Hyderabad Telangana 500012 India,20 km to city centre 15 km to Hyderabad HYD-Rajiv Gandhi Intl,Bathtub,8789,,Hyderabad,2021-12-02,2021-02-14
12,Capital O 65104 Che Sigma Hotel,107/11 Beside Firdous Cafe Chinthalkunta ta Hyderabad Hyderabad Telangana 500074 India,11 km to city centre 16 km to Hyderabad HYD-Rajiv Gandhi Intl,,2627,,Hyderabad,2021-12-02,2021-02-14
13,OYO 61506 Sai Residency,Sai Residency Plot no 210 Kalyan nagar phase1 vengalarao nagar main road besid Hyderabad Telangana 500038 India,71 km to city centre 22 km to Hyderabad HYD-Rajiv Gandhi Intl,,2951,,Hyderabad,2021-12-02,2021-02-14
14,OYO 61506 Sai Residency,Sai Residency Plot no 210 Kalyan nagar phase1 vengalarao nagar main road besid Hyderabad Telangana 500038 India,71 km to city centre 22 km to Hyderabad HYD-Rajiv Gandhi Intl,,2951,,Hyderabad,2021-12-02,2021-02-14
15,"Vivanta  , Begumpet",1 10 147 148 Mayuri Marg Hyderabad Andhra Pradesh 500016 India,61 km to city centre 22 km to Hyderabad HYD-Rajiv Gandhi Intl,PoolFree parkingPet-friendlyAirport transferSpaGym,7100,,Hyderabad,2021-12-02,2021-02-14
16,Marigold by Greenpark,7125 Greenlands Begumpet Hyderabad Andhra Pradesh 500016 India,55 km to city centre 21 km to Hyderabad HYD-Rajiv Gandhi Intl,Free parkingAirport transferSpaGymRestaurantBar,7200,,Hyderabad,2021-12-02,2021-02-14
17,OYO 23543 Hotel Vaishnavi,14Near Khindsi Lake Tumsar Road Hyderabad 500003 India,65 km to city centre 22 km to Hyderabad HYD-Rajiv Gandhi Intl,Free parkingBathtub,4094,,Hyderabad,2021-12-02,2021-02-14
18,OYO 63371 R Square Stay,R Square Stay Metro exit D Beside China Bazar Bahadurguda LB Nagar a Bazar Bahad Hyderabad Telangana 500074 India,99 km to city centre 16 km to Hyderabad HYD-Rajiv Gandhi Intl,Free parking,5593,,Hyderabad,2021-12-02,2021-02-14
19,OYO 17279 Royal Inn Hotel,539 100Ft Rd Mega Hills Hyderabad Telangana 500081 India,10 km to city centre 24 km to Hyderabad HYD-Rajiv Gandhi Intl,,4095,,Hyderabad,2021-12-02,2021-02-14
20,Le Meridien  ,Plot No 132 Miyapur Rd Gachibowli Hyderabad Telangana 500032 India,13 km to city centre 24 km to Hyderabad HYD-Rajiv Gandhi Intl,PoolFree parkingSpaGymRestaurantBar,6000,,Hyderabad,2021-12-02,2021-02-14
21,Lemon Tree Hotel Gachibowli  ,No 115/1Financial District Nanakramguda Serilingampally Gachibowli Hyderabad Andhra Pradesh 500032 India,15 km to city centre 23 km to Hyderabad HYD-Rajiv Gandhi Intl,Free parkingAirport transferBathtubConnecting rooms availableMeeting Facilities,3198,,Hyderabad,2021-12-02,2021-02-14
22,Deccan Comforts,No 5919/14 15 Old Secretariat Road Green Gates Saifabad Hyderabad Telangana 500022 India,22 km to city centre 18 km to Hyderabad HYD-Rajiv Gandhi Intl,,1998,,Hyderabad,2021-12-02,2021-02-14
23,OYO 65280 New Raghava Guest House,D/4 Sri Nagar Colony Krishna Nagar Hyderabad Telangana 500033 India,61 km to city centre 21 km to Hyderabad HYD-Rajiv Gandhi Intl,Free parking,5069,,Hyderabad,2021-12-02,2021-02-14
